age,gender,education,country,ethnicity,neuroticism,legal highs
0.49788,0.48246,-0.05921,0.96082,0.12600,0.31287,CL0
-0.07854,-0.48246,1.98437,0.96082,-0.31685,-0.67825,CL0
0.49788,-0.48246,-0.05921,0.96082,-0.31685,-0.46725,CL0
-0.95197,0.48246,1.16365,0.96082,-0.31685,-0.14882,CL0
0.49788,0.48246,1.98437,0.96082,-0.31685,0.73545,CL1
2.59171,0.48246,-1.22751,0.24923,-0.31685,-0.67825,CL0
1.09449,-0.48246,1.16365,-0.57009,-0.31685,-0.46725,CL0
0.49788,-0.48246,-1.73790,0.96082,-0.31685,-1.32828,CL0
0.49788,0.48246,-0.05921,0.24923,-0.31685,0.62967,CL0
1.82213,-0.48246,1.16365,0.96082,-0.31685,-0.24649,CL0
-0.07854,0.48246,0.45468,0.96082,-0.31685,-1.05308,CL0
1.09449,-0.48246,-0.61113,-0.28519,-0.31685,-1.32828,CL0
1.82213,0.48246,0.45468,0.96082,-0.31685,2.28554,CL0
1.82213,0.48246,-0.05921,0.24923,-0.31685,-0.79151,CL0
1.82213,0.48246,-0.05921,0.96082,-0.31685,-0.92104,CL0
1.82213,-0.48246,0.45468,0.96082,-0.31685,-2.05048,CL0
0.49788,0.48246,-0.61113,0.96082,-0.31685,-1.55078,CL0
1.09449,-0.48246,-1.73790,0.96082,-0.31685,0.52135,CL0
1.82213,-0.48246,0.45468,-0.09765,-0.31685,1.37297,CL2
0.49788,-0.48246,-0.05921,0.96082,-0.31685,-0.34799,CL0
1.09449,-0.48246,-0.05921,0.96082,-0.31685,-0.79151,CL0
2.59171,-0.48246,-2.43591,0.96082,-0.31685,-1.19430,CL0
1.09449,-0.48246,0.45468,0.96082,-0.31685,0.41667,CL0
1.09449,-0.48246,-1.73790,0.96082,-0.31685,1.60383,CL0
1.82213,-0.48246,0.45468,0.96082,-0.31685,-0.14882,CL0
1.09449,-0.48246,-0.61113,0.96082,-0.31685,-0.79151,CL3
1.82213,0.48246,-1.22751,0.24923,-0.31685,-0.05188,CL0
0.49788,-0.48246,0.45468,0.96082,-0.31685,0.52135,CL2
0.49788,0.48246,1.16365,0.96082,-0.31685,0.04257,CL0
1.09449,-0.48246,1.98437,0.96082,-0.31685,-1.32828,CL0
1.09449,-0.48246,-1.73790,0.96082,-0.31685,0.31287,CL1
0.49788,0.48246,-1.73790,-0.28519,-0.31685,-1.19430,CL0
0.49788,-0.48246,0.45468,0.96082,-0.31685,-0.79151,CL0
-0.95197,-0.48246,0.45468,0.96082,-0.31685,0.41667,CL0
0.49788,-0.48246,0.45468,-0.57009,0.11440,1.02119,CL1
2.59171,-0.48246,-2.43591,0.96082,-0.31685,-0.24649,CL0
0.49788,-0.48246,0.45468,0.96082,-0.31685,-0.24649,CL0
1.82213,-0.48246,-2.43591,-0.57009,-0.31685,0.31287,CL0
1.09449,-0.48246,0.45468,0.96082,-0.31685,-1.55078,CL0
2.59171,0.48246,-0.05921,0.96082,-0.31685,-0.24649,CL1
0.49788,-0.48246,1.16365,0.96082,-0.31685,0.04257,CL0
0.49788,0.48246,0.45468,0.96082,-0.31685,0.82562,CL0
0.49788,-0.48246,1.16365,0.96082,-0.31685,-0.14882,CL2
0.49788,-0.48246,-0.05921,0.96082,-0.31685,-0.92104,CL0
-0.07854,-0.48246,0.45468,0.96082,0.11440,-1.05308,CL0
-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.46725,CL0
1.09449,0.48246,-0.61113,0.24923,-0.31685,0.31287,CL0
1.09449,-0.48246,1.16365,0.96082,-0.31685,-2.05048,CL0
1.09449,-0.48246,-1.73790,0.96082,-0.31685,0.13606,CL0
-0.07854,0.48246,1.16365,0.96082,-0.22166,0.82562,CL0
0.49788,-0.48246,1.16365,0.96082,-0.31685,1.02119,CL2
1.09449,-0.48246,-0.05921,0.24923,-0.31685,1.13281,CL0
1.82213,0.48246,0.45468,0.96082,-0.31685,-0.14882,CL0
1.09449,-0.48246,1.16365,0.96082,-0.31685,-1.43907,CL0
1.82213,-0.48246,-1.73790,0.96082,-0.31685,0.04257,CL3
1.82213,0.48246,-0.05921,0.96082,-0.31685,0.04257,CL0
0.49788,0.48246,-0.61113,0.96082,-0.31685,0.04257,CL0
-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.58016,CL0
1.09449,-0.48246,-1.22751,0.96082,-0.31685,0.22393,CL3
1.09449,-0.48246,0.45468,0.96082,-0.31685,-0.46725,CL0
-0.07854,0.48246,1.98437,0.96082,-0.31685,1.37297,CL0
1.09449,-0.48246,1.16365,0.96082,-0.50212,-2.21844,CL0
-0.07854,-0.48246,0.45468,0.96082,-0.31685,-0.58016,CL0
1.09449,-0.48246,0.45468,0.96082,-0.31685,1.02119,CL0
1.09449,-0.48246,1.98437,0.96082,-0.31685,-1.55078,CL0
0.49788,-0.48246,-0.61113,0.96082,-0.31685,0.73545,CL0
1.09449,-0.48246,-1.73790,0.96082,-0.31685,-1.05308,CL0
-0.07854,-0.48246,1.16365,0.96082,-0.31685,-0.34799,CL0
0.49788,-0.48246,-0.05921,-0.28519,-0.31685,-0.92104,CL1
1.09449,0.48246,-1.73790,0.96082,-0.31685,-0.05188,CL0
-0.07854,-0.48246,-0.61113,0.96082,-0.31685,-0.34799,CL2
1.09449,0.48246,-1.22751,0.24923,-0.31685,-0.46725,CL0
1.09449,-0.48246,-1.22751,0.96082,-0.31685,-1.55078,CL0
1.09449,-0.48246,-0.05921,0.96082,-0.31685,-0.67825,CL0
2.59171,0.48246,-1.73790,0.96082,-0.31685,-1.19430,CL0
-0.07854,-0.48246,0.45468,0.96082,-0.31685,-0.14882,CL0
1.09449,0.48246,-1.43719,0.24923,-0.31685,-0.34799,CL0
0.49788,-0.48246,0.45468,0.96082,-0.31685,0.13606,CL0
0.49788,-0.48246,-0.61113,0.96082,-0.31685,-0.79151,CL0
0.49788,-0.48246,-0.05921,0.96082,-0.31685,-0.34799,CL0
2.59171,0.48246,1.98437,0.24923,-0.31685,0.04257,CL0
1.82213,0.48246,0.45468,0.96082,-0.31685,-0.79151,CL0
1.82213,-0.48246,1.16365,0.24923,-0.31685,-2.05048,CL0
1.82213,0.48246,-1.43719,0.96082,-0.22166,1.02119,CL0
1.09449,-0.48246,-1.73790,0.96082,-0.31685,-0.34799,CL0
-0.07854,0.48246,-1.22751,0.96082,-0.31685,-0.46725,CL0
0.49788,-0.48246,-0.61113,0.96082,-0.31685,0.73545,CL0
1.82213,-0.48246,-1.73790,0.96082,-0.31685,-0.92104,CL0
0.49788,0.48246,-0.61113,0.96082,-0.31685,0.31287,CL0
0.49788,0.48246,1.16365,0.96082,-0.31685,0.91093,CL0
0.49788,0.48246,1.16365,0.96082,-0.31685,1.37297,CL0
0.49788,-0.48246,-0.05921,0.24923,-0.31685,0.41667,CL0
-0.07854,-0.48246,-1.22751,0.96082,-0.31685,-1.55078,CL0
2.59171,0.48246,-1.73790,0.96082,-0.31685,-0.14882,CL0
1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.67825,CL0
1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.46725,CL0
0.49788,0.48246,0.45468,0.24923,-0.31685,0.13606,CL0
1.09449,0.48246,1.16365,0.96082,-0.31685,-0.46725,CL0
0.49788,-0.48246,1.98437,0.24923,-0.31685,-1.19430,CL0
-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.67825,CL0
-0.07854,-0.48246,1.16365,-0.28519,-0.31685,-1.05308,CL2
1.09449,0.48246,-1.73790,-0.09765,-0.31685,-0.58016,CL0
1.09449,-0.48246,-1.22751,0.96082,-0.31685,-0.58016,CL1
1.09449,0.48246,-0.05921,0.24923,-0.31685,0.04257,CL0
