age,gender,education,country,ethnicity,extraversion,openness
0.49788,0.48246,-0.05921,0.96082,0.12600,-0.57545,-0.58331
-0.07854,-0.48246,1.98437,0.96082,-0.31685,1.93886,1.43533
0.49788,-0.48246,-0.05921,0.96082,-0.31685,0.80523,-0.84732
-0.95197,0.48246,1.16365,0.96082,-0.31685,-0.80615,-0.01928
0.49788,0.48246,1.98437,0.96082,-0.31685,-1.63340,-0.45174
2.59171,0.48246,-1.22751,0.24923,-0.31685,-0.30033,-1.55521
1.09449,-0.48246,1.16365,-0.57009,-0.31685,-1.09207,-0.45174
0.49788,-0.48246,-1.73790,0.96082,-0.31685,1.93886,-0.84732
0.49788,0.48246,-0.05921,0.24923,-0.31685,2.57309,-0.97631
1.82213,-0.48246,1.16365,0.96082,-0.31685,0.00332,-1.42424
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.80523,-1.11902
1.09449,-0.48246,-0.61113,-0.28519,-0.31685,0.00332,0.14143
1.82213,0.48246,0.45468,0.96082,-0.31685,0.16767,0.44585
1.82213,0.48246,-0.05921,0.24923,-0.31685,0.80523,-0.01928
1.82213,0.48246,-0.05921,0.96082,-0.31685,1.45421,0.44585
1.82213,-0.48246,0.45468,0.96082,-0.31685,-1.50796,-1.55521
0.49788,0.48246,-0.61113,0.96082,-0.31685,-0.80615,-1.68062
1.09449,-0.48246,-1.73790,0.96082,-0.31685,-1.23177,-0.31776
1.82213,-0.48246,0.45468,-0.09765,-0.31685,-0.15487,-0.17779
0.49788,-0.48246,-0.05921,0.96082,-0.31685,-1.76250,-2.39883
1.09449,-0.48246,-0.05921,0.96082,-0.31685,0.80523,0.72330
2.59171,-0.48246,-2.43591,0.96082,-0.31685,0.47617,-1.11902
1.09449,-0.48246,0.45468,0.96082,-0.31685,-0.94779,-0.84732
1.09449,-0.48246,-1.73790,0.96082,-0.31685,-3.27393,-1.27553
1.82213,-0.48246,0.45468,0.96082,-0.31685,0.63779,1.24033
1.09449,-0.48246,-0.61113,0.96082,-0.31685,-0.43999,-1.27553
